         17817 function calls (17496 primitive calls) in 506.042 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1  496.863  496.863  506.042  506.042 {built-in method exec_}
        2    0.000    0.000    7.902    3.951 /Users/qz/Downloads/SDCardQuickView/SDCardQuickView.py:380(on_open_folder_clicked)
        2    7.900    3.950    7.900    3.950 {getExistingDirectory}
       16    0.694    0.043    1.277    0.080 /Users/qz/Downloads/SDCardQuickView/SDCardQuickView.py:242(open_image)
       11    0.000    0.000    0.518    0.047 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PngImagePlugin.py:1024(getexif)
       11    0.001    0.000    0.518    0.047 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/ImageFile.py:155(load)
      159    0.502    0.003    0.502    0.003 {method 'decode' of 'ImagingDecoder' objects}
       16    0.000    0.000    0.032    0.002 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/Image.py:3183(open)
     19/7    0.000    0.000    0.025    0.004 <frozen importlib._bootstrap>:1053(_handle_fromlist)
     47/6    0.000    0.000    0.025    0.004 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     15/6    0.000    0.000    0.025    0.004 {built-in method builtins.__import__}
     28/6    0.000    0.000    0.025    0.004 <frozen importlib._bootstrap>:1022(_find_and_load)
     28/6    0.000    0.000    0.025    0.004 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     27/6    0.000    0.000    0.025    0.004 <frozen importlib._bootstrap>:664(_load_unlocked)
     22/6    0.000    0.000    0.024    0.004 <frozen importlib._bootstrap_external>:877(exec_module)
     22/6    0.000    0.000    0.021    0.003 {built-in method builtins.exec}
       16    0.000    0.000    0.017    0.001 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/Image.py:322(preinit)
        2    0.017    0.008    0.017    0.008 {built-in method show}
       16    0.000    0.000    0.013    0.001 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/Image.py:3251(_open_core)
       16    0.000    0.000    0.013    0.001 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/ImageFile.py:88(__init__)
       11    0.000    0.000    0.011    0.001 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PngImagePlugin.py:924(load_prepare)
       11    0.000    0.000    0.011    0.001 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/ImageFile.py:292(load_prepare)
       11    0.011    0.001    0.011    0.001 {built-in method PIL._imaging.new}
       15    0.010    0.001    0.010    0.001 {built-in method scaled}
       22    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:950(get_code)
        5    0.000    0.000    0.009    0.002 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/JpegImagePlugin.py:821(jpeg_factory)
       17    0.000    0.000    0.009    0.001 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/Image.py:1431(getexif)
        5    0.000    0.000    0.009    0.002 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/JpegImagePlugin.py:350(_open)
       12    0.000    0.000    0.009    0.001 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/JpegImagePlugin.py:61(APP)
        2    0.000    0.000    0.009    0.004 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/Image.py:3695(load)
      541    0.008    0.000    0.008    0.000 {method 'read' of '_io.BufferedReader' objects}
